record_id,article_submission_date,article_title,bmjopen_id,opt_in_date,corresponding_author,author_email,study_type,publication_status,article_version,excluded,data_sharing_statement_verbatim_prequt,data_sharing_statement_verbatim_postqut,data_sharing_statement,article_accepted,weblink_data,time_check,qut_recruitment_date,random,badge,withdrawn,withdrawal_date,data_collection_complete
1,,,,10/08/2017,,,9,2,1,0,No additional data are available.,,,,,,11/08/2017,1,,,,2
2,,,,10/08/2017,,,2,3,1,1,"Additional unpublished data from either the data extraction, analysis and quality appraisal is available from the corresponding author for further scrutiny.","Full datasets, analyses and all full searches are available on request from the corresponding author at d.carnes@qmul.ac.uk. No individual patient level data was used in this study.",2,1,no,,11/08/2017,2,0,0,,2
3,,,,10/08/2017,,,7,3,1,0,"Under ethical approval, patient level data cannot be made available.","Under ethical approval, patient level data cannot be made available.",1,1,no,n/a,11/08/2017,2,0,0,,2
4,,,,10/08/2017,,,5,3,1,0,The data set used for this analysis is publicly available at: http://dx.doi.org/10.4227/11/592631edbd9d5,The dataset used for this analysis is publicly available at the following link: http://dx.doi.org/10.4227/11/592631edbd9d5,3,1,http://dx.doi.org/10.4227/11/592631edbd9d5,5,11/08/2017,2,1,0,,2
5,,,,10/08/2017,,,5,3,1,0,"The Corresponding Author has the right to grant on behalf of all authors and does grant on behalf of all authors, a worldwide licence to the Publishers and its licensees in perpetuity, in all forms, formats and media (whether known now or created in the future), to i) publish, reproduce, distribute, display and store the Contribution; ii) translate the Contribution into other languages, create adaptations, reprints, include within collections and create summaries, extracts and/or, abstracts of the Contribution; iii) create any other derivative work(s) based on the Contribution; iv) to exploit all subsidiary rights in the Contribution; v) the inclusion of electronic links from the Contribution to third party material where-ever it may be located; and, vi) licence any third party to do any or all of the above.",The datasets generated during and/or analysed during the current study are available from the corresponding author on reasonable request.,2,1,no,,11/08/2017,1,0,0,,2
6,,,,10/08/2017,,,7,3,1,0,The raw data on which conclusions of this manuscript rely is available upon request. Please contact Muhammad Rehan Sarwar at rehansarwaralvi@gmail.com.,The raw data on which conclusions of this manuscript rely is available upon request. 433 Please contact Muhammad Rehan Sarwar at rehansarwaralvi@gmail.com.  ,2,1,no,n/a,11/08/2017,1,0,0,,2
7,,,,10/08/2017,,,5,2,1,0,"Due to the restrictions on the transfer of data to third parties, both ethical (accordance of the protocol approved by the Ethics and Clinical Research Committee of the Institute of Health Care (IAS), Girona, Spain) and legal (according to the provisions of the Spanish Law on Data Protection, Fundamental Law 15/1999 of 13 December on the Protection of Personal Data, article 7.3); data (appropriately anonymized) will be available to all interested researchers upon request to Marc Saez (marc.saez@udg.edu).",,,0,,,11/08/2017,1,,,,2
8,,,,10/08/2017,,,2,3,1,1,We declare that there is no shared data,No additional data are available,1,1,no,n/a,11/08/2017,2,0,0,,2
9,,,,10/08/2017,,,1,3,1,0,Data are available from corresponding author on request.,Data are available from corresponding author on request.,2,1,no,n/a,11/08/2017,1,0,0,,2
10,,,,14/08/2017,,,7,3,1,0,The original data of the encuesta de salud mental 2015 are available through a formal request to the Ministry of Health - free of charge.,The original data of the encuesta de salud mental 2015 are available through a formal request to the Ministry of Health - free of charge.,2,1,no,n/a,15/08/2017,2,0,0,,2
11,,,,14/08/2017,,,7,3,1,0,The sugar and calorie information of each product included will be available on emailing Kawther Hashem on k.hashem@qmul.ac.uk.,The sugar and calorie information of each product included will be available on emailing Kawther Hashem on k.hashem@qmul.ac.uk.,2,1,no,n/a,15/08/2017,2,0,0,,2
12,,,,16/08/2017,,,7,3,1,0,The Migrant Health and Wellbeing (Maamu) Survey data can be shared with other researchers after a research plan has been compiled and accepted. More information on data sharing process can be accessed from: https://www.thl.fi/en/web/thlfi-en/research-and-expertwork/population-studies/migrant-health-and-wellbeing-study-maamu-/information-for-researchers.,The Migrant Health and Wellbeing (Maamu) Survey data can be shared with other researchers after a research plan has been compiled and accepted. More information on data sharing process can be accessed from: https://www.thl.fi/en/web/thlfi-en/research-andexpertwork/population-studies/migrant-health-and-wellbeing-study-maamu-/information-forresearchers,2,1,no,n/a,18/08/2017,1,0,0,,2
13,,,,16/08/2017,,,7,3,1,0,we can provide the original research article if necessary,The datasets generated and analyzed during the current study are available from the corresponding author upon reasonable request.,2,1,no,,18/08/2017,1,0,0,,2
